CC400 label,Yeo 7 Label,,Yeo Label,Yeo Network Name
1,9,,1,Visual            
2,6,,2,Somatomotor       
3,2,,3,Dorsal Attn       
4,8,,4,Ventral Attn      
5,4,,5,Limbic            
6,1,,6,Fronto-pareital   
7,3,,7,Default Mode      
8,6,,8,Subcortical
9,4,,9,Cerebellum/Brain Stem
10,2,,,
11,7,,,
12,5,,,
13,9,,,
14,8,,,
15,6,,,
16,6,,,
17,9,,,
18,9,,,
19,5,,,
20,2,,,
21,8,,,
22,2,,,
23,2,,,
24,1,,,
25,5,,,
26,3,,,
27,9,,,
28,2,,,
29,6,,,
30,7,,,
31,6,,,
32,6,,,
34,7,,,
35,2,,,
36,7,,,
37,1,,,
38,7,,,
39,4,,,
40,2,,,
41,9,,,
42,8,,,
43,1,,,
44,6,,,
45,5,,,
46,2,,,
47,4,,,
48,7,,,
49,3,,,
50,8,,,
51,3,,,
52,2,,,
53,7,,,
54,2,,,
55,9,,,
56,3,,,
57,7,,,
58,1,,,
59,7,,,
60,7,,,
61,3,,,
62,1,,,
63,1,,,
64,6,,,
65,4,,,
66,2,,,
67,8,,,
68,4,,,
69,7,,,
70,1,,,
71,8,,,
72,3,,,
73,6,,,
74,6,,,
75,4,,,
76,1,,,
77,4,,,
78,9,,,
80,6,,,
81,2,,,
82,4,,,
83,9,,,
84,7,,,
85,8,,,
87,5,,,
88,6,,,
89,6,,,
90,2,,,
91,5,,,
92,1,,,
93,7,,,
94,3,,,
95,2,,,
96,6,,,
97,9,,,
98,8,,,
99,7,,,
100,8,,,
101,5,,,
102,3,,,
103,4,,,
104,3,,,
105,1,,,
106,6,,,
107,2,,,
108,1,,,
109,7,,,
110,3,,,
111,5,,,
112,5,,,
113,4,,,
114,1,,,
115,4,,,
116,7,,,
117,2,,,
118,4,,,
119,9,,,
120,7,,,
121,5,,,
122,1,,,
123,7,,,
124,2,,,
125,4,,,
126,9,,,
127,9,,,
128,7,,,
129,7,,,
130,2,,,
131,7,,,
132,8,,,
133,7,,,
134,9,,,
135,3,,,
136,9,,,
137,7,,,
138,7,,,
139,5,,,
140,7,,,
141,7,,,
142,7,,,
143,5,,,
144,9,,,
145,2,,,
146,1,,,
147,2,,,
148,4,,,
149,7,,,
150,7,,,
151,1,,,
152,9,,,
153,6,,,
154,7,,,
155,6,,,
156,4,,,
157,2,,,
158,7,,,
159,4,,,
160,6,,,
161,2,,,
162,4,,,
163,1,,,
164,7,,,
165,2,,,
166,5,,,
167,3,,,
168,8,,,
169,1,,,
170,8,,,
171,2,,,
172,6,,,
173,1,,,
174,2,,,
175,9,,,
176,1,,,
177,7,,,
178,7,,,
179,9,,,
180,1,,,
181,3,,,
182,5,,,
183,1,,,
184,4,,,
185,8,,,
186,7,,,
187,2,,,
188,1,,,
189,7,,,
190,7,,,
191,3,,,
192,6,,,
193,7,,,
194,2,,,
195,9,,,
196,8,,,
197,7,,,
198,6,,,
199,3,,,
200,4,,,
201,7,,,
202,6,,,
203,7,,,
204,9,,,
205,7,,,
206,4,,,
207,7,,,
208,8,,,
209,7,,,
210,4,,,
211,1,,,
212,4,,,
213,9,,,
214,6,,,
215,7,,,
216,2,,,
217,7,,,
218,3,,,
219,1,,,
220,2,,,
221,7,,,
222,6,,,
223,4,,,
224,4,,,
225,1,,,
226,6,,,
227,9,,,
228,7,,,
229,1,,,
230,9,,,
231,1,,,
232,7,,,
233,8,,,
234,1,,,
235,7,,,
236,4,,,
237,6,,,
238,4,,,
239,6,,,
240,3,,,
241,6,,,
242,1,,,
243,7,,,
244,2,,,
245,8,,,
246,2,,,
247,9,,,
248,7,,,
249,7,,,
250,2,,,
251,6,,,
252,7,,,
253,9,,,
254,7,,,
255,7,,,
256,4,,,
257,2,,,
258,9,,,
259,1,,,
260,5,,,
261,4,,,
262,7,,,
263,3,,,
264,7,,,
265,6,,,
266,7,,,
267,9,,,
268,8,,,
269,1,,,
270,2,,,
271,7,,,
272,6,,,
273,7,,,
274,4,,,
275,3,,,
276,9,,,
277,5,,,
278,3,,,
279,6,,,
280,7,,,
281,2,,,
282,1,,,
283,7,,,
284,8,,,
285,6,,,
286,1,,,
287,3,,,
288,5,,,
289,7,,,
290,3,,,
291,4,,,
292,8,,,
293,3,,,
294,1,,,
295,9,,,
296,3,,,
297,7,,,
298,5,,,
299,8,,,
300,9,,,
301,9,,,
302,2,,,
303,4,,,
304,3,,,
305,2,,,
306,7,,,
307,6,,,
308,1,,,
309,1,,,
310,9,,,
312,7,,,
313,5,,,
314,4,,,
315,9,,,
316,4,,,
317,2,,,
318,1,,,
319,4,,,
320,6,,,
321,9,,,
322,1,,,
323,3,,,
324,1,,,
325,7,,,
326,1,,,
327,6,,,
328,8,,,
329,7,,,
330,1,,,
331,2,,,
332,1,,,
333,5,,,
334,3,,,
335,9,,,
336,2,,,
337,8,,,
338,7,,,
339,8,,,
340,1,,,
341,7,,,
342,1,,,
343,7,,,
344,3,,,
345,3,,,
346,3,,,
347,4,,,
348,1,,,
349,9,,,
350,9,,,
351,1,,,
352,2,,,
353,1,,,
354,6,,,
355,3,,,
356,6,,,
357,9,,,
359,2,,,
360,3,,,
361,1,,,
362,1,,,
363,2,,,
364,7,,,
365,8,,,
366,4,,,
367,1,,,
368,7,,,
370,4,,,
371,6,,,
372,1,,,
373,8,,,
374,7,,,
375,8,,,
376,3,,,
377,9,,,
378,1,,,
379,6,,,
380,2,,,
381,3,,,
383,7,,,
384,9,,,
385,6,,,
386,7,,,
387,6,,,
388,5,,,
389,2,,,
391,1,,,
392,7,,,
393,2,,,
394,4,,,
395,7,,,
396,5,,,
397,6,,,
398,8,,,
399,9,,,
400,4,,,
